iter	RMSE
182	3.654853155
183	3.654027428
184	3.65357333
185	3.653362077
186	3.652179737
187	3.65110539
188	3.64943102
189	3.649164245
190	3.648676988
191	3.647765984
192	3.647616988
193	3.647053625
194	3.645435112
195	3.643891556
196	3.643208776
197	3.642222728
198	3.642087369
199	3.641782122
200	3.640670929
201	3.640240058
202	3.639949859
203	3.638993599
204	3.638657145
205	3.638536512
206	3.638163447
207	3.636814843
208	3.635809852
209	3.634811244
210	3.633851693
211	3.633762062
212	3.633002442
213	3.632261471
214	3.632132576
215	3.632040134
216	3.63164777
217	3.631388261
218	3.631078936
219	3.630231484
220	3.628831227
221	3.628145417
222	3.62752278
223	3.62690363
224	3.626477153
225	3.626231517
226	3.623464422
227	3.62308023
228	3.62275459
229	3.622199258
230	3.621664899
231	3.621341858
232	3.621151173
233	3.620407402
234	3.620127744
235	3.619874738
236	3.619724857
237	3.619504776
238	3.619251973
239	3.618623927
240	3.618464548
241	3.617810287
242	3.617580653
243	3.617012852
244	3.616855942
245	3.616536714
246	3.616200932
247	3.615881281
248	3.615538491
249	3.615143448
250	3.614780195
251	3.614532305
252	3.614389068
253	3.614265626
254	3.614132799
255	3.613084039
256	3.612455647
257	3.612166232
258	3.61165052
259	3.611326803
260	3.610473545
261	3.609897783
262	3.609409223
263	3.609033609
264	3.608195543
265	3.60790136
266	3.607793024
267	3.607703389
268	3.607616371
269	3.607209988
270	3.607125607
271	3.6068778
272	3.606557877
273	3.606464558
274	3.605614644
275	3.605405834
276	3.605014787
277	3.604209937
278	3.603585938
279	3.603445729
280	3.602993315
281	3.602675619
282	3.601606778
283	3.601319028
284	3.600866736
285	3.600214949
286	3.599920776
287	3.599364842
288	3.599199537
289	3.59901224
290	3.598877841
291	3.598813417
292	3.598688234
293	3.598471271
294	3.598104378
295	3.597999331
296	3.597561888
297	3.597441522
298	3.597376973
299	3.596956603
300	3.595959849
301	3.595205417
302	3.594276519
303	3.594037667
304	3.593679675
305	3.5932969
306	3.593203854
307	3.593147125
308	3.592519831
309	3.59209848
310	3.591345962
311	3.591019777
312	3.59081132
313	3.590413322
314	3.59021497
315	3.590139071
316	3.589647155
317	3.589379681
318	3.589167954
319	3.588601046
320	3.588106467
321	3.587996159
322	3.58792366
323	3.586499534
324	3.586308217
325	3.586200407
326	3.586108225
327	3.58604102
328	3.585748933
329	3.585109366
330	3.584455257
331	3.584134379
332	3.583932607
333	3.582199877
334	3.581390174
335	3.58119263
336	3.581002752
337	3.580766344
338	3.580528957
339	3.58025347
340	3.57981911
341	3.579738292
342	3.579503066
343	3.579122373
344	3.578902301
345	3.578309654
346	3.57819555
347	3.578108836
348	3.578030076
349	3.577919801
350	3.577584229
351	3.577193303
352	3.577129295
353	3.576296814
354	3.576144846
355	3.575904679
356	3.575546732
357	3.575392162
358	3.575309091
359	3.575059005
360	3.574806292
361	3.5742733
362	3.574098315
363	3.573763974
364	3.573482324
365	3.573384164
366	3.573350053
367	3.573201639
368	3.573108204
369	3.573042147
370	3.57274873
371	3.572700842
372	3.57265533
373	3.57255798
374	3.572455009
375	3.572299308
376	3.571964652
377	3.571707447
378	3.571570536
379	3.571532654
380	3.571449136
381	3.571236208
382	3.570888526
383	3.569583919
384	3.56930043
385	3.569226091
386	3.568135416
387	3.568102014
388	3.568031497
389	3.56792754
390	3.567755449
391	3.567593119
392	3.567109106
393	3.566749422
394	3.565469375
395	3.565398475
396	3.565330198
397	3.565283851
398	3.564564955
399	3.564270193
400	3.564055406
401	3.563577071
402	3.563358062
403	3.563151451
404	3.562851992
405	3.562697689
406	3.562485516
407	3.56227834
408	3.562099916
409	3.561657525
410	3.561512443
411	3.561432442
412	3.561004106
413	3.560454094
414	3.56032859
415	3.559747109
416	3.559665706
417	3.559401097
418	3.559350849
419	3.5593021
420	3.557885426
421	3.557824727
422	3.557257489
423	3.557136069
424	3.556866782
425	3.55671089
426	3.556448223
427	3.555907686
428	3.555712089
429	3.5546539
430	3.554627926
431	3.554320739
432	3.55409567
433	3.553254195
434	3.55314224
435	3.553091972
436	3.552652646
437	3.552452231
438	3.551582398
439	3.551337761
440	3.551201677
441	3.551039493
442	3.550448946
443	3.550127384
444	3.550032247
445	3.549520689
446	3.549481278
447	3.549348079
448	3.549181623
449	3.54903525
450	3.548950368
451	3.547850234
452	3.547197302
453	3.54703361
454	3.546985627
455	3.546851016
456	3.546657181
457	3.546467054
458	3.546373361
459	3.546219861
460	3.545613801
461	3.545481142
462	3.545349593
463	3.545291909
464	3.545257541
465	3.545135772
466	3.545053642
467	3.544907527
468	3.54484953
469	3.544797228
470	3.544740857
471	3.544658069
472	3.544122581
473	3.543956823
474	3.543731321
475	3.543589614
476	3.543230284
477	3.54320459
478	3.543165482
479	3.543075487
480	3.542829022
481	3.542492013
482	3.542366369
483	3.542125589
484	3.541780277
485	3.541611629
486	3.541352928
487	3.540594759
488	3.540244388
489	3.540128257
490	3.540016259
491	3.539948417
492	3.539799156
493	3.539673057
494	3.539586753
495	3.539533435
496	3.539500544
497	3.539252046
498	3.539155754
499	3.539037426
500	3.538965113
501	3.538865157
502	3.538789838
503	3.538703515
504	3.538628541
505	3.538575332
506	3.537951594
507	3.537682698
508	3.536793835
509	3.536668627
510	3.536455656
511	3.536403099
512	3.535926049
513	3.53557422
514	3.535360359
515	3.534425908
516	3.534295751
517	3.534253615
518	3.534075047
519	3.534016292
520	3.533916281
521	3.533736309
522	3.533090125
523	3.532948791
524	3.532820292
525	3.532784373
526	3.53272654
527	3.532585947
528	3.532538883
529	3.532434079
530	3.531907017
531	3.531868725
532	3.531825641
533	3.531734698
534	3.531392984
535	3.531005823
536	3.530923827
537	3.530718246
538	3.530652728
539	3.530430013
540	3.530327392
541	3.530254636
542	3.530185232
543	3.529906931
544	3.529850825
545	3.529791428
546	3.529767061
547	3.529739486
548	3.52896198
549	3.528696197
550	3.528654135
551	3.528623135
552	3.528380116
553	3.528349191
554	3.528292287
555	3.528181722
556	3.528140519
557	3.52799909
558	3.52793805
559	3.527803577
560	3.527788046
561	3.527719263
562	3.527539439
563	3.526752729
564	3.526443349
565	3.526263679
566	3.525974489
567	3.525566929
568	3.525257447
569	3.524939449
570	3.524789173
571	3.524395037
572	3.524325425
573	3.524306034
574	3.523778437
575	3.523387331
576	3.523064098
577	3.52287252
578	3.522561379
579	3.522525289
580	3.522485842
581	3.522425436
582	3.522248919
583	3.522142472
584	3.521676965
585	3.521423971
586	3.521368446
587	3.521234282
588	3.521198599
589	3.521124492
590	3.520578618
591	3.520357794
592	3.520181753
593	3.519983246
594	3.519821327
595	3.519668641
596	3.519532358
597	3.519462512
598	3.519319019
599	3.519070845
600	3.519041619
601	3.519005705
602	3.518847538
603	3.51882438
604	3.518770932
605	3.518742563
606	3.518685378
607	3.51866436
608	3.518544164
609	3.518387691
610	3.518311782
611	3.518263386
612	3.518003967
613	3.517977433
614	3.51790913
615	3.517810155
616	3.51770638
617	3.517660259
618	3.517636006
619	3.517502888
620	3.517311765
621	3.51691556
622	3.516878831
623	3.516700352
624	3.516665743
625	3.516620775
626	3.516488469
627	3.516408473
628	3.516352983
629	3.516245266
630	3.516007553
631	3.515988373
632	3.515956148
633	3.515626124
634	3.515593173
635	3.515352077
636	3.515326351
637	3.515216038
638	3.515021719
639	3.514735626
640	3.514691009
641	3.514608616
642	3.514548104
643	3.514511214
644	3.514291647
645	3.514198285
646	3.513713353
647	3.513642136
648	3.513525909
649	3.513506114
650	3.513289238
651	3.51302409
652	3.512818465
653	3.512766628
654	3.512753464
655	3.512700824
656	3.512687249
657	3.512527068
658	3.51248729
659	3.512057297
660	3.511941677
661	3.51167868
662	3.511668331
663	3.511574484
664	3.511227032
665	3.511125504
666	3.510964133
667	3.51071686
668	3.510485662
669	3.510414125
670	3.510303935
671	3.510256272
672	3.510044127
673	3.509855336
674	3.509673917
675	3.50963141
676	3.509480453
677	3.509354775
678	3.509313131
679	3.509260876
680	3.509211888
681	3.509172864
682	3.508941153
683	3.5088409
684	3.508567552
685	3.508471901
686	3.508446124
687	3.508426024
688	3.508384362
689	3.508364999
690	3.508069842
691	3.507356493
692	3.5073436
693	3.507190144
694	3.506820193
695	3.506747473
696	3.506722134
697	3.506511023
698	3.506167692
699	3.506089324
700	3.506043539
701	3.506001806
702	3.505954055
703	3.505931818
704	3.505895027
705	3.505806931
706	3.505653624
707	3.505543579
708	3.505503057
709	3.505337188
710	3.505079032
711	3.504880839
712	3.504857662
713	3.504775505
714	3.5047199
715	3.504707203
716	3.504668184
717	3.504452667
718	3.504421331
719	3.504395614
720	3.504222228
721	3.504201542
722	3.504134132
723	3.50397766
724	3.503879293
725	3.503802895
726	3.503597444
727	3.50353668
728	3.503472626
729	3.50341909
730	3.502999765
731	3.502803097
732	3.502701195
733	3.502656914
734	3.502640536
735	3.502582215
736	3.502324243
737	3.502278607
738	3.50212678
739	3.502091097
740	3.502054959
741	3.501980736
742	3.501836329
743	3.501780831
744	3.501725878
745	3.501665528
746	3.501379264
747	3.501299961
748	3.501184834
749	3.501014477
750	3.500951784
751	3.500917693
752	3.50050137
753	3.500382791
754	3.499991498
755	3.499657684
756	3.499442405
757	3.499396369
758	3.499128469
759	3.499073437
760	3.499040476
761	3.499008368
762	3.498877345
763	3.498824998
764	3.498660909
765	3.498611091
766	3.498324853
767	3.498225334
768	3.498127379
769	3.498049959
770	3.498008338
771	3.497847215
772	3.497822651
773	3.497740803
774	3.497726337
775	3.49764715
776	3.497632335
777	3.497556884
778	3.497530401
779	3.497409659
780	3.49738019
781	3.497333729
782	3.497242739
783	3.497024538
784	3.496897216
785	3.496847933
786	3.496227148
787	3.496093754
788	3.495988857
789	3.495965859
790	3.495851051
791	3.495735152
792	3.495607371
793	3.494901997
794	3.494789054
795	3.494730597
796	3.494657636
797	3.494549524
798	3.494448
799	3.494370583
800	3.494310963
801	3.494060507
802	3.49393194
803	3.493856977
804	3.493755552
805	3.493723321
806	3.49370147
807	3.493577989
808	3.493537975
809	3.493185271
810	3.49281757
811	3.492579658
812	3.492492358
813	3.491906882
814	3.491796957
815	3.491767903
816	3.491696275
817	3.491665576
818	3.491521229
819	3.491504477
820	3.491465567
821	3.491390728
822	3.491097847
823	3.490713587
824	3.490606593
825	3.490578388
826	3.490528194
827	3.490457061
828	3.490330738
829	3.490306797
830	3.490192537
831	3.490089022
832	3.489949936
833	3.489845964
834	3.489584554
835	3.48925964
836	3.489224041
837	3.489205076
838	3.489183531
839	3.489080798
840	3.489038602
841	3.488955132
842	3.488918088
843	3.488907332
844	3.488742518
845	3.488565698
846	3.488249949
847	3.488171613
848	3.487746296
849	3.487653855
850	3.487631743
851	3.487413584
852	3.487373441
853	3.48734173
854	3.487260799
855	3.487222672
856	3.487111509
857	3.487045191
858	3.486900688
859	3.486691938
860	3.486606603
861	3.48655493
862	3.486463416
863	3.486405974
864	3.486373621
865	3.48625621
866	3.486237045
867	3.48619958
868	3.486120907
869	3.48607646
870	3.486026821
871	3.485955634
872	3.48591198
873	3.485876002
874	3.485843548
875	3.485815744
876	3.485732883
877	3.485426638
878	3.4853836
879	3.484885907
880	3.484782599
881	3.484696139
882	3.484639402
883	3.484459891
884	3.484332552
885	3.484309376
886	3.4842817
887	3.4834506
888	3.483440801
889	3.483423287
890	3.4833572
891	3.483276929
892	3.483240396
893	3.483201397
894	3.482954708
895	3.482819585
896	3.482753044
897	3.482660579
898	3.482634973
899	3.482453234
900	3.48223592
901	3.482152824
902	3.482075726
903	3.482050501
904	3.481967917
905	3.481855805
906	3.481679683
907	3.481669002
908	3.48162467
909	3.481576621
910	3.481493806
911	3.481410875
912	3.48135305
913	3.481315054
914	3.48128771
915	3.481219632
916	3.48119205
917	3.481157741
918	3.481137124
919	3.481116718
920	3.480985836
921	3.480931627
922	3.480898178
923	3.480867054
924	3.480824954
925	3.480578546
926	3.480564274
927	3.480529823
928	3.480408487
929	3.480324886
930	3.480296116
931	3.48010198
932	3.479964896
933	3.479898666
934	3.479875264
935	3.479836744
936	3.479805172
937	3.479680721
938	3.479554045
939	3.479521286
940	3.479504582
941	3.479410744
942	3.479387666
943	3.47931225
944	3.479224741
945	3.479210799
946	3.479198863
947	3.479183153
948	3.479148853
949	3.479130809
950	3.479108669
951	3.47907887
952	3.479000676
953	3.478982485
954	3.478973052
955	3.478948715
956	3.478924278
957	3.478849241
958	3.478790326
959	3.478740259
960	3.47868087
961	3.478666416
962	3.478602346
963	3.478462958
964	3.478440342
965	3.478182594
966	3.476999106
967	3.47698411
968	3.476903199
969	3.476890128
970	3.476835842
971	3.47682047
972	3.476774524
973	3.476658442
974	3.476491733
975	3.476391203
976	3.476200989
977	3.476144344
978	3.476050247
979	3.474785963
980	3.474662869
981	3.47458876
982	3.474368296
983	3.474279991
984	3.47424138
985	3.474206301
986	3.474167001
987	3.473891572
988	3.473834645
989	3.473780958
990	3.473729188
991	3.473566069
992	3.473527406
993	3.473495042
994	3.473472489
995	3.473452154
996	3.473265262
997	3.473163237
998	3.473063237
999	3.472987302
